               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.016826,            0.008483,             0.01116,             0.88397,             0.93827,             0.96219,             0.84655,           0.0055546,           0.0020801,           0.0027019,           0.0089209,           0.0089209,           0.0089209
                 111,            0.015819,           0.0083357,            0.010088,             0.90633,             0.85497,             0.96416,             0.86712,           0.0053858,           0.0020189,           0.0031675,            0.008911,            0.008911,            0.008911
                 112,            0.016566,           0.0084341,            0.010416,             0.75589,             0.94796,             0.95204,             0.85641,            0.004976,           0.0019077,           0.0044383,           0.0089011,           0.0089011,           0.0089011
                 113,            0.014071,           0.0082602,           0.0089332,             0.83755,             0.95679,             0.95801,             0.86746,           0.0049871,           0.0017756,           0.0030908,           0.0088912,           0.0088912,           0.0088912
                 114,            0.016246,           0.0081667,            0.009504,               0.839,             0.93994,             0.95406,             0.85703,           0.0051055,           0.0018451,           0.0031729,           0.0088813,           0.0088813,           0.0088813
                 115,            0.015821,           0.0080888,            0.010401,             0.81341,             0.95594,              0.9504,             0.85363,           0.0052806,           0.0019561,           0.0032226,           0.0088714,           0.0088714,           0.0088714
                 116,            0.015845,           0.0080563,           0.0099463,             0.87672,             0.91405,             0.95334,             0.85962,           0.0052445,           0.0018913,           0.0033797,           0.0088615,           0.0088615,           0.0088615
                 117,            0.013876,           0.0082845,           0.0095364,             0.84028,             0.87557,             0.95136,             0.85983,           0.0053888,           0.0020159,            0.004438,           0.0088516,           0.0088516,           0.0088516
                 118,            0.014261,            0.008211,            0.010045,             0.86325,             0.90822,              0.9515,              0.8501,           0.0053883,           0.0022188,           0.0032804,           0.0088417,           0.0088417,           0.0088417
                 119,            0.015776,           0.0080732,           0.0085848,             0.91513,             0.88062,             0.94095,             0.84798,           0.0053552,           0.0022302,           0.0030561,           0.0088318,           0.0088318,           0.0088318
                 120,            0.015894,           0.0079868,           0.0086949,             0.88712,             0.90804,             0.94872,             0.85663,           0.0049432,           0.0019758,           0.0029905,           0.0088219,           0.0088219,           0.0088219
                 121,            0.016212,            0.008078,           0.0091813,             0.86794,             0.92491,             0.95757,             0.85236,           0.0057644,           0.0021543,           0.0030482,            0.008812,            0.008812,            0.008812
                 122,            0.015291,           0.0081801,           0.0076887,             0.85569,             0.91177,             0.95571,             0.85778,           0.0052096,            0.001918,           0.0033358,           0.0088021,           0.0088021,           0.0088021
                 123,            0.014596,           0.0079918,           0.0096528,             0.88704,             0.84937,             0.94905,             0.85703,            0.005029,           0.0020433,           0.0035834,           0.0087922,           0.0087922,           0.0087922
                 124,            0.015487,           0.0079748,           0.0077169,             0.81404,             0.90514,             0.94093,              0.8365,           0.0051136,           0.0021055,           0.0034642,           0.0087823,           0.0087823,           0.0087823
                 125,            0.014942,           0.0079855,           0.0088578,             0.85873,             0.92593,             0.95233,             0.85461,           0.0048342,            0.001976,           0.0032454,           0.0087724,           0.0087724,           0.0087724
                 126,            0.015671,           0.0080457,           0.0093984,             0.80808,             0.96059,             0.94801,             0.84878,           0.0051333,           0.0021035,           0.0036538,           0.0087625,           0.0087625,           0.0087625
                 127,            0.014623,           0.0077221,           0.0090599,             0.89584,             0.91685,             0.95961,              0.8588,           0.0051678,           0.0020654,           0.0033248,           0.0087526,           0.0087526,           0.0087526
                 128,            0.014835,           0.0080675,           0.0085019,             0.87355,              0.9337,             0.96139,             0.87521,           0.0054934,            0.001964,           0.0028645,           0.0087427,           0.0087427,           0.0087427
                 129,            0.014564,           0.0076503,           0.0077435,             0.88622,             0.92717,             0.96115,              0.8683,           0.0055041,           0.0019267,           0.0029844,           0.0087328,           0.0087328,           0.0087328
                 130,             0.01419,           0.0078074,            0.006755,             0.90014,               0.926,             0.96131,             0.87221,           0.0050356,           0.0019981,            0.002762,           0.0087229,           0.0087229,           0.0087229
                 131,            0.014988,           0.0079726,           0.0096844,             0.79287,             0.87314,             0.95152,             0.83891,            0.005264,           0.0021081,           0.0053414,            0.008713,            0.008713,            0.008713
                 132,            0.014364,           0.0079764,            0.010889,             0.89922,             0.93225,             0.96882,             0.86959,            0.005402,            0.002016,           0.0025207,           0.0087031,           0.0087031,           0.0087031
                 133,             0.01455,           0.0082426,           0.0082596,             0.81834,              0.9388,             0.95731,             0.86408,            0.005035,           0.0019595,            0.003636,           0.0086932,           0.0086932,           0.0086932
                 134,            0.013383,           0.0080409,           0.0079515,             0.88807,             0.88485,             0.95374,             0.85098,           0.0052411,           0.0019632,           0.0033111,           0.0086833,           0.0086833,           0.0086833
                 135,            0.015292,           0.0080601,           0.0090738,             0.79208,             0.93857,             0.93792,             0.83816,           0.0052463,           0.0018938,           0.0042506,           0.0086734,           0.0086734,           0.0086734
                 136,            0.014774,           0.0079403,            0.008715,             0.84929,             0.90793,             0.95056,             0.85802,           0.0052079,           0.0018989,           0.0035596,           0.0086635,           0.0086635,           0.0086635
                 137,            0.016051,           0.0082425,            0.010042,             0.80848,              0.9391,             0.93917,             0.84174,           0.0054104,           0.0020222,           0.0035797,           0.0086536,           0.0086536,           0.0086536
                 138,            0.014695,           0.0079176,           0.0086602,             0.85518,             0.91426,             0.95197,             0.85761,           0.0051928,           0.0019907,           0.0037645,           0.0086437,           0.0086437,           0.0086437
                 139,             0.01534,           0.0079631,           0.0080547,             0.87122,             0.93248,             0.95247,             0.85646,           0.0049953,            0.002092,           0.0036314,           0.0086338,           0.0086338,           0.0086338
                 140,            0.015187,           0.0081874,           0.0092135,             0.88191,             0.93827,             0.96126,             0.86262,           0.0048636,           0.0019094,           0.0029676,           0.0086239,           0.0086239,           0.0086239
                 141,            0.015676,           0.0081932,           0.0085695,             0.75282,             0.95347,             0.94734,              0.8529,           0.0048913,           0.0019543,           0.0038979,            0.008614,            0.008614,            0.008614
                 142,             0.01514,           0.0078949,           0.0075569,             0.87733,             0.88927,             0.95208,              0.8603,            0.004841,           0.0019356,           0.0028807,           0.0086041,           0.0086041,           0.0086041
                 143,            0.015738,            0.008105,           0.0091492,             0.90961,             0.90146,             0.96064,             0.86585,           0.0050573,           0.0019584,           0.0025852,           0.0085942,           0.0085942,           0.0085942
                 144,            0.014076,           0.0080591,           0.0083172,             0.84825,             0.96304,               0.962,             0.86423,           0.0050216,           0.0019962,           0.0030395,           0.0085843,           0.0085843,           0.0085843
                 145,            0.013747,           0.0081375,           0.0078373,             0.86694,             0.93211,             0.96444,             0.86938,           0.0048262,           0.0018748,           0.0036014,           0.0085744,           0.0085744,           0.0085744
                 146,            0.014424,           0.0080319,           0.0082371,             0.88816,             0.94464,             0.96249,             0.85584,           0.0052979,           0.0020193,           0.0035759,           0.0085645,           0.0085645,           0.0085645
                 147,            0.015431,           0.0077706,           0.0086691,             0.88657,              0.9217,             0.95685,             0.85576,           0.0054916,           0.0020417,           0.0027584,           0.0085546,           0.0085546,           0.0085546
                 148,            0.014595,            0.007903,           0.0085367,             0.90118,             0.89902,             0.95375,             0.86215,           0.0048665,           0.0020075,           0.0027717,           0.0085447,           0.0085447,           0.0085447
                 149,            0.015111,           0.0079896,           0.0076565,             0.89051,             0.96849,             0.96987,              0.8722,           0.0052733,           0.0019563,           0.0025957,           0.0085348,           0.0085348,           0.0085348
                 150,            0.013495,           0.0080942,           0.0068746,             0.92738,             0.92359,             0.96644,             0.87446,           0.0057163,            0.002012,           0.0026336,           0.0085249,           0.0085249,           0.0085249
